Station                              ,               cloud_cover,              cloud_height,                  humidity,           humidity_past1h,    leav_hum_dur_past10min,       leav_hum_dur_past1h,      precip_dur_past10min,         precip_dur_past1h,          precip_past10min,             precip_past1h,           precip_past1min,            precip_past24h,                  pressure,           pressure_at_sea,                radia_glob,         radia_glob_past1h,            snow_cover_man,            snow_depth_man,        sun_last10min_glob,           sun_last1h_glob,                  temp_dew,                  temp_dry,                temp_grass,     temp_grass_max_past1h,    temp_grass_mean_past1h,     temp_grass_min_past1h,          temp_max_past12h,           temp_max_past1h,          temp_mean_past1h,          temp_min_past12h,           temp_min_past1h,                 temp_soil,      temp_soil_max_past1h,     temp_soil_mean_past1h,      temp_soil_min_past1h,      visib_mean_last10min,                visibility,                   weather,                  wind_dir,           wind_dir_past1h,   wind_gust_always_past1h,                  wind_max,  wind_max_per10min_past1h,                  wind_min,           wind_min_past1h,                wind_speed,         wind_speed_past1h
04203 (Kitsissut)                    ,                         0,                         0,                      2256,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2213,                      2213,                         0,                         0,                         0,                         0,                         0,                         0,                      2256,                      2256,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2258,                         0,                         0,                         0,                         0,                         0,                         0,                      2258,                         0
04208 (Kitsissorsuit)                ,                         0,                         0,                      2537,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2497,                      2497,                         0,                         0,                         0,                         0,                         0,                         0,                      2537,                      2540,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2542,                         0,                         0,                         0,                         0,                         0,                         0,                      2542,                         0
04214 (Qullissat)                    ,                         0,                         0,                      2464,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2420,                      2420,                         0,                         0,                         0,                         0,                         0,                         0,                      2464,                      2465,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2465,                         0,                         0,                         0,                         0,                         0,                         0,                      2465,                         0
04220 (Aasiaat)                      ,                      4353,                      4201,                      8202,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      8203,                      8202,                         0,                         0,                         0,                         0,                         0,                         0,                      8202,                      8202,                         0,                         0,                         0,                         0,                       708,                         0,                         0,                       711,                         0,                         0,                         0,                         0,                         0,                         0,                      4989,                      3947,                      8199,                         0,                         0,                         0,                         0,                         0,                         0,                      8199,                         0
04228 (Attu)                         ,                         0,                         0,                      1758,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      1944,                      1944,                         0,                         0,                         0,                         0,                         0,                         0,                      1758,                      1945,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      1945,                         0,                         0,                         0,                         0,                         0,                         0,                      1945,                         0
04242 (Sioralik)                     ,                         0,                         0,                      2429,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2430,                      2430,                         0,                         0,                         0,                         0,                         0,                         0,                      2429,                      2429,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2429,                         0,                         0,                         0,                         0,                         0,                         0,                      2429,                         0
04250 (Nuuk)                         ,                      6988,                      3881,                      7441,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      8194,                      8193,                         0,                         0,                         0,                         0,                         0,                         0,                      8197,                      8198,                         0,                         0,                         0,                         0,                       668,                         0,                         0,                       653,                         0,                         0,                         0,                         0,                         0,                         0,                      5908,                      2983,                      7442,                         0,                         0,                         0,                         0,                         0,                         0,                      7442,                         0
04253 (Ukiiviit)                     ,                         1,                         0,                      2367,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2369,                      2369,                         0,                         0,                         0,                         0,                         0,                         0,                      2367,                      2368,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2369,                         0,                         0,                         0,                         0,                         0,                         0,                      2369,                         0
04266 (Nunarssuit)                   ,                         0,                         0,                      2196,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2195,                      2195,                         0,                         0,                         0,                         0,                         0,                         0,                      2196,                      2196,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2197,                         0,                         0,                         0,                         0,                         0,                         0,                      2197,                         0
04271 (Narsarsuaq Radiosonde)        ,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0
