Station                                ,             cloud_cover,            cloud_height,                humidity,         humidity_past1h,  leav_hum_dur_past10min,     leav_hum_dur_past1h,    precip_dur_past10min,       precip_dur_past1h,        precip_past10min,           precip_past1h,         precip_past1min,          precip_past24h,                pressure,         pressure_at_sea,              radia_glob,       radia_glob_past1h,          snow_cover_man,          snow_depth_man,      sun_last10min_glob,         sun_last1h_glob,                temp_dew,                temp_dry,              temp_grass,   temp_grass_max_past1h,  temp_grass_mean_past1h,   temp_grass_min_past1h,        temp_max_past12h,         temp_max_past1h,        temp_mean_past1h,        temp_min_past12h,         temp_min_past1h,               temp_soil,    temp_soil_max_past1h,   temp_soil_mean_past1h,    temp_soil_min_past1h,    visib_mean_last10min,              visibility,                 weather,                wind_dir,         wind_dir_past1h, wind_gust_always_past1h,                wind_max, wind_max_per10min_past1h,                wind_min,         wind_min_past1h,              wind_speed,       wind_speed_past1h
  04203 (Kitsissut)                    ,                       0,                       0,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5286,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                    5285,                    5285,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5227,                       0,                       0,                    5227,                       0,                       0,                       0,                    5227,                       0
  04208 (Kitsissorsuit)                ,                       0,                       0,                    5287,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5287,                    5287,                       0,                       0,                       0,                       0,                       0,                       0,                    5285,                    5285,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    4582,                       0,                       0,                    4582,                       0,                       0,                       0,                    4582,                       0
  04214 (Qullissat)                    ,                       0,                       0,                    5177,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5283,                    5283,                       0,                       0,                       0,                       0,                       0,                       0,                    5174,                    5262,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5280,                       0,                       0,                    5280,                       0,                       0,                       0,                    5280,                       0
  04220 (Aasiaat)                      ,                   31377,                   22415,                   31693,                    5278,                       0,                       0,                    1593,                     256,                   31675,                    5277,                   15940,                     215,                   31694,                   31693,                   31689,                    5278,                       0,                       0,                   31689,                    5278,                   31693,                   31693,                       0,                       0,                       0,                       0,                     435,                    5278,                    5278,                     435,                    5278,                       0,                       0,                       0,                       0,                    6766,                    6766,                    1589,                   31694,                    5278,                    5278,                   31694,                    5278,                     506,                     404,                   31694,                    5278
  04228 (Attu)                         ,                       0,                       0,                    1123,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5286,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                    1123,                    1124,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5096,                       0,                       0,                    5096,                       0,                       0,                       0,                    5096,                       0
  04242 (Sioralik)                     ,                       0,                       0,                    5233,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5286,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                    5233,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5223,                       0,                       0,                    5223,                       0,                       0,                       0,                    5223,                       0
  04250 (Nuuk)                         ,                   27435,                   20866,                   30800,                    5147,                       0,                       0,                    3163,                     501,                   30798,                    5147,                   31600,                     214,                   30800,                   30800,                   30799,                    5147,                       0,                       0,                   30799,                    5147,                   30800,                   30800,                       0,                       0,                       0,                       0,                     429,                    5147,                    5147,                     429,                    5147,                       0,                       0,                       0,                       0,                   30385,                   30385,                   11063,                   30800,                    5147,                    5147,                   30800,                    5147,                     592,                     602,                   30800,                    5147
  04253 (Ukiiviit)                     ,                       0,                       0,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5286,                    5286,                       0,                       0,                       0,                       0,                       0,                       0,                    5281,                    5281,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5228,                       0,                       0,                    5228,                       0,                       0,                       0,                    5228,                       0
  04266 (Nunarssuit)                   ,                       0,                       0,                    5270,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    5284,                    5284,                       0,                       0,                       0,                       0,                       0,                       0,                    5261,                    5265,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    3826,                       0,                       0,                    3826,                       0,                       0,                       0,                    3826,                       0
  04271 (Narsarsuaq Radiosonde)        ,                       0,                       0,                   31710,                    5284,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                   31710,                   31710,                   31710,                    5284,                       0,                       0,                   31710,                    5284,                   31710,                   31710,                       0,                       0,                       0,                       0,                     441,                    5284,                    5284,                     441,                    5284,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                   31710,                    5284,                    5284,                   31710,                    5284,                    1514,                     746,                   31710,                    5284
