Station                              ,               cloud_cover,              cloud_height,                  humidity,           humidity_past1h,    leav_hum_dur_past10min,       leav_hum_dur_past1h,      precip_dur_past10min,         precip_dur_past1h,          precip_past10min,             precip_past1h,           precip_past1min,            precip_past24h,                  pressure,           pressure_at_sea,                radia_glob,         radia_glob_past1h,            snow_cover_man,            snow_depth_man,        sun_last10min_glob,           sun_last1h_glob,                  temp_dew,                  temp_dry,                temp_grass,     temp_grass_max_past1h,    temp_grass_mean_past1h,     temp_grass_min_past1h,          temp_max_past12h,           temp_max_past1h,          temp_mean_past1h,          temp_min_past12h,           temp_min_past1h,                 temp_soil,      temp_soil_max_past1h,     temp_soil_mean_past1h,      temp_soil_min_past1h,      visib_mean_last10min,                visibility,                   weather,                  wind_dir,           wind_dir_past1h,   wind_gust_always_past1h,                  wind_max,  wind_max_per10min_past1h,                  wind_min,           wind_min_past1h,                wind_speed,         wind_speed_past1h
04203 (Kitsissut)                    ,                         0,                         0,                      2695,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2698,                         0,                         0,                         0,                         0,                         0,                         0,                      2695,                      2698,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2715,                         0,                         0,                         0,                         0,                         0,                         0,                      2715,                         0
04208 (Kitsissorsuit)                ,                         1,                         1,                      2748,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2749,                         0,                         0,                         0,                         0,                         0,                         0,                      2749,                      2752,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         1,                         1,                      2750,                         0,                         0,                         0,                         0,                         0,                         0,                      2750,                         0
04214 (Qullissat)                    ,                         1,                         1,                      2722,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2723,                         0,                         0,                         0,                         0,                         0,                         0,                      2723,                      2725,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         1,                         0,                      2725,                         0,                         0,                         0,                         0,                         0,                         0,                      2725,                         0
04220 (Aasiaat)                      ,                      2919,                      2771,                      2912,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2911,                         0,                         0,                         0,                         0,                         0,                         0,                      2912,                      2919,                         0,                         0,                         0,                         0,                       709,                         0,                         0,                       707,                         0,                         0,                         0,                         0,                         0,                         0,                      2916,                      2898,                      2919,                         0,                         0,                         0,                         0,                         0,                         0,                      2919,                         0
04228 (Attu)                         ,                         0,                         0,                      2557,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2610,                         0,                         0,                         0,                         0,                         0,                         0,                      2557,                      2558,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2610,                         0,                         0,                         0,                         0,                         0,                         0,                      2610,                         0
04242 (Sioralik)                     ,                         1,                         1,                      2726,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2722,                         0,                         0,                         0,                         0,                         0,                         0,                      2727,                      2727,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         1,                         0,                      2732,                         0,                         0,                         0,                         0,                         0,                         0,                      2732,                         0
04250 (Nuuk)                         ,                      2801,                      2601,                      2884,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2885,                         0,                         0,                         0,                         0,                         0,                         0,                      2884,                      2890,                         0,                         0,                         0,                         0,                       710,                         0,                         0,                       710,                         0,                         0,                         0,                         0,                         0,                         0,                      2821,                      2621,                      2891,                         0,                         0,                         0,                         0,                         0,                         0,                      2891,                         0
04253 (Ukiiviit)                     ,                         1,                         1,                      2720,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2719,                         0,                         0,                         0,                         0,                         0,                         0,                      2721,                      2727,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         1,                         0,                      2730,                         0,                         0,                         0,                         0,                         0,                         0,                      2730,                         0
04266 (Nunarssuit)                   ,                         1,                         1,                      2659,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                      2664,                         0,                         0,                         0,                         0,                         0,                         0,                      2660,                      2668,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         1,                         0,                      2669,                         0,                         0,                         0,                         0,                         0,                         0,                      2669,                         0
04271 (Narsarsuaq Radiosonde)        ,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0,                         0
