Station                                ,             cloud_cover,            cloud_height,                humidity,         humidity_past1h,  leav_hum_dur_past10min,     leav_hum_dur_past1h,    precip_dur_past10min,       precip_dur_past1h,        precip_past10min,           precip_past1h,         precip_past1min,          precip_past24h,                pressure,         pressure_at_sea,              radia_glob,       radia_glob_past1h,          snow_cover_man,          snow_depth_man,      sun_last10min_glob,         sun_last1h_glob,                temp_dew,                temp_dry,              temp_grass,   temp_grass_max_past1h,  temp_grass_mean_past1h,   temp_grass_min_past1h,        temp_max_past12h,         temp_max_past1h,        temp_mean_past1h,        temp_min_past12h,         temp_min_past1h,               temp_soil,    temp_soil_max_past1h,   temp_soil_mean_past1h,    temp_soil_min_past1h,    visib_mean_last10min,              visibility,                 weather,                wind_dir,         wind_dir_past1h, wind_gust_always_past1h,                wind_max, wind_max_per10min_past1h,                wind_min,         wind_min_past1h,              wind_speed,       wind_speed_past1h
  04203 (Kitsissut)                    ,                       0,                       0,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8782,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                    8777,                    8777,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8766,                       0,                       0,                    8766,                       0,                       0,                       0,                    8766,                       0
  04208 (Kitsissorsuit)                ,                       0,                       0,                    8783,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8783,                    8783,                       0,                       0,                       0,                       0,                       0,                       0,                    8782,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    7461,                       0,                       0,                    7461,                       0,                       0,                       0,                    7461,                       0
  04214 (Qullissat)                    ,                       0,                       0,                    8768,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8768,                    8768,                       0,                       0,                       0,                       0,                       0,                       0,                    8766,                    8766,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8672,                       0,                       0,                    8672,                       0,                       0,                       0,                    8672,                       0
  04220 (Aasiaat)                      ,                   52144,                   39645,                   52639,                    8769,                       0,                       0,                    2945,                     470,                   52633,                    8769,                   29420,                     362,                   52639,                   52639,                   52638,                    8769,                       0,                       0,                   52638,                    8769,                   52639,                   52639,                       0,                       0,                       0,                       0,                     727,                    8769,                    8769,                     727,                    8769,                       0,                       0,                       0,                       0,                     377,                     377,                     331,                   52639,                    8769,                    8769,                   52639,                    8769,                    1511,                     942,                   52639,                    8769
  04228 (Attu)                         ,                       0,                       0,                    7038,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8781,                    8781,                       0,                       0,                       0,                       0,                       0,                       0,                    7036,                    7080,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8672,                       0,                       0,                    8672,                       0,                       0,                       0,                    8672,                       0
  04242 (Sioralik)                     ,                       0,                       0,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8782,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                    8776,                    8776,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8754,                       0,                       0,                    8754,                       0,                       0,                       0,                    8754,                       0
  04250 (Nuuk)                         ,                   51182,                   43910,                   43595,                    7290,                       0,                       0,                    5981,                     870,                   46337,                    7840,                   51380,                     349,                   51497,                   44379,                   51493,                    8577,                       0,                       0,                   51493,                    8577,                   43521,                   44379,                       0,                       0,                       0,                       0,                     620,                    7417,                    7417,                     620,                    7417,                       0,                       0,                       0,                       0,                   44639,                   44639,                   18109,                   51497,                    8577,                    8577,                   51497,                    8577,                    1635,                    1208,                   51497,                    8577
  04253 (Ukiiviit)                     ,                       0,                       0,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8782,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                    8782,                    8782,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8736,                       0,                       0,                    8736,                       0,                       0,                       0,                    8736,                       0
  04266 (Nunarssuit)                   ,                       0,                       0,                    8166,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    8166,                    8166,                       0,                       0,                       0,                       0,                       0,                       0,                    8164,                    8164,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                    7805,                       0,                       0,                    7805,                       0,                       0,                       0,                    7805,                       0
  04271 (Narsarsuaq Radiosonde)        ,                       0,                       0,                   52159,                    8689,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                   52159,                   52159,                   52155,                    8689,                       0,                       0,                   52155,                    8689,                   52159,                   52159,                       0,                       0,                       0,                       0,                     722,                    8689,                    8689,                     722,                    8689,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                   52159,                    8689,                    8689,                   52159,                    8689,                    1696,                     893,                   52159,                    8689
